subject_code,subject_description,faculty,activity_group_code,activity_code,campus,day_of_week,start_time,weeks,teaching_weeks,duration,location,staff,size,buffer,adjusted_size,student_count,constraint_count,cluster,group,activity_description,show_on_timetable,available_for_allocation
GENG1000_WK29-29_CR,Engineering Practice 1,660,Seminar-01,1,CR,Fri,09:00,18/7,1,120,PHYS: [ 243] Clews Lecture Theatre,-,200,0,200,180,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Seminar-02,1,CR,Mon,09:00,14/7,1,120,PHYS: [ 243] Clews Lecture Theatre,-,200,0,200,180,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Seminar-03,1,CR,Tue,09:00,15/7,1,120,PHYS: [ 243] Clews Lecture Theatre,-,200,0,200,180,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Seminar-04,1,CR,Wed,09:00,16/7,1,120,PHYS: [ 243] Clews Lecture Theatre,-,200,0,200,180,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Seminar-05,1,CR,Thu,09:00,17/7,1,120,PHYS: [ 243] Clews Lecture Theatre,-,200,0,200,180,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-01,1,CR,Thu,09:00,17/7,1,480,"EZONECENT: [ 105] Engineering Foundation Learning Studio 1 (17/7), EZONECENT: [ 106] Engineering Foundation Learning Studio 2 (17/7), EZONECENT: [ 206] Giumelli Learning Studio 1 (17/7), EZONECENT: [ 207] Giumelli Learning Studio 2 (17/7), EZONECENT: [ 209] Giumelli Learning Studio 3 (17/7), EZONECENT: [ 210] Giumelli Learning Studio 4 (17/7)",-,210,0,210,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-02,1,CR,Wed,09:00,16/7,1,480,"EZONECENT: [ 105] Engineering Foundation Learning Studio 1 (16/7), EZONECENT: [ 106] Engineering Foundation Learning Studio 2 (16/7), EZONECENT: [ 206] Giumelli Learning Studio 1 (16/7), EZONECENT: [ 207] Giumelli Learning Studio 2 (16/7), EZONECENT: [ 209] Giumelli Learning Studio 3 (16/7), EZONECENT: [ 210] Giumelli Learning Studio 4 (16/7)",-,210,0,210,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-03,1,CR,Mon,09:00,14/7,1,480,"EZONECENT: [ 105] Engineering Foundation Learning Studio 1 (14/7), EZONECENT: [ 106] Engineering Foundation Learning Studio 2 (14/7), EZONECENT: [ 206] Giumelli Learning Studio 1 (14/7), EZONECENT: [ 207] Giumelli Learning Studio 2 (14/7), EZONECENT: [ 209] Giumelli Learning Studio 3 (14/7), EZONECENT: [ 210] Giumelli Learning Studio 4 (14/7)",-,210,0,210,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-04,1,CR,Tue,09:00,15/7,1,480,"EZONECENT: [ 105] Engineering Foundation Learning Studio 1 (15/7), EZONECENT: [ 106] Engineering Foundation Learning Studio 2 (15/7), EZONECENT: [ 206] Giumelli Learning Studio 1 (15/7), EZONECENT: [ 207] Giumelli Learning Studio 2 (15/7), EZONECENT: [ 209] Giumelli Learning Studio 3 (15/7), EZONECENT: [ 210] Giumelli Learning Studio 4 (15/7)",-,210,0,210,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-05,1,CR,Fri,09:00,18/7,1,480,"EZONECENT: [ 105] Engineering Foundation Learning Studio 1 (18/7), EZONECENT: [ 106] Engineering Foundation Learning Studio 2 (18/7), EZONECENT: [ 206] Giumelli Learning Studio 1 (18/7), EZONECENT: [ 207] Giumelli Learning Studio 2 (18/7), EZONECENT: [ 209] Giumelli Learning Studio 3 (18/7), EZONECENT: [ 210] Giumelli Learning Studio 4 (18/7)",-,210,0,210,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-06,1,CR,Mon,09:00,14/7,1,480,EZONECENT: [  G07] Hydraulics Lab,-,20,0,20,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-06,2,CR,Fri,09:00,18/7,1,480,EZONECENT: [  G07] Hydraulics Lab,-,20,0,20,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-06,3,CR,Tue,09:00,15/7,1,480,EZONECENT: [  G07] Hydraulics Lab,-,20,0,20,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-06,4,CR,Thu,09:00,17/7,1,480,EZONECENT: [  G07] Hydraulics Lab,-,20,0,20,0,0,-,-,Engineering Practice 1,Y,Y
GENG1000_WK29-29_CR,Engineering Practice 1,660,Workshop-06,5,CR,Wed,09:00,16/7,1,480,EZONECENT: [  G07] Hydraulics Lab,-,20,0,20,0,0,-,-,Engineering Practice 1,Y,Y
